group_id,kind,sigma,input_valid,rejected,reject_reason,total_steps,executed_steps,modified_steps,stopped_steps,joint_dev_mean,joint_dev_max,tcp_dev_mean,tcp_dev_max,final_gap,min_margin,max_vel,violations,verdict
0,random_walk,0.00273,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.14485,,PASS
1,random_walk,0.00228,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.11611,,PASS
2,random_walk,0.00326,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.20788,,PASS
3,random_walk,0.03795,True,False,,50,50,1,0,0.00285,0.0266,0.00037,0.00607,0.0,0.0,1.5,,PASS
4,random_walk,0.00428,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.27173,,PASS
5,random_walk,0.01019,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.65075,,PASS
6,random_walk,0.0326,True,False,,50,50,20,15,0.04498,0.2111,0.016,0.08303,0.0,0.0,1.5,,PASS
7,random_walk,0.03289,True,False,,50,50,0,0,0.00185,0.02801,0.00061,0.01443,0.0,0.03906,1.5,,PASS
8,random_walk,0.00811,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.47459,,PASS
9,random_walk,0.02109,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,1.2586,,PASS
10,random_walk,0.03249,True,False,,50,50,14,11,0.03981,0.19442,0.01366,0.07409,0.00201,0.0,1.5,,PASS
11,random_walk,0.00236,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.13306,,PASS
12,random_walk,0.00374,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.22381,,PASS
13,random_walk,0.00289,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.17683,,PASS
14,random_walk,0.03504,True,False,,50,50,22,19,0.05366,0.1885,0.01514,0.06787,0.0,0.0,1.5,,PASS
15,random_walk,0.00308,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.18421,,PASS
16,random_walk,0.06208,True,False,,50,50,28,27,0.33696,0.95965,0.08651,0.20859,0.95965,0.0,1.5,,PASS
17,random_walk,0.05107,True,False,,50,50,18,17,0.11677,0.48277,0.03142,0.1447,0.48277,1e-05,1.5,,PASS
18,random_walk,0.061,True,False,,50,50,2,1,0.03387,0.13159,0.00897,0.05833,0.04762,1e-05,1.5,,PASS
19,random_walk,0.01767,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,1.48566,,PASS
20,random_walk,0.01991,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,1.21276,,PASS
21,random_walk,0.00579,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.31822,,PASS
22,random_walk,0.02645,True,False,,50,50,0,0,0.00026,0.00792,5e-05,0.00258,0.0,0.03906,1.5,,PASS
23,random_walk,0.00838,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.58638,,PASS
24,random_walk,0.00807,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.45036,,PASS
25,random_walk,0.00368,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.24804,,PASS
26,random_walk,0.05285,True,False,,50,50,0,0,0.02044,0.09165,0.00683,0.04545,0.02305,0.03906,1.5,,PASS
27,random_walk,0.06475,True,False,,50,50,0,0,0.0427,0.1341,0.01123,0.05369,0.06084,0.00504,1.5,,PASS
28,random_walk,0.00425,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.30115,,PASS
29,random_walk,0.00322,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.22873,,PASS
30,random_walk,0.09847,True,False,,50,50,0,0,0.12973,0.26852,0.0422,0.1406,0.04716,0.03906,1.5,,PASS
31,random_walk,0.01079,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.90455,,PASS
32,random_walk,0.00513,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.31681,,PASS
33,random_walk,0.00628,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.41395,,PASS
34,random_walk,0.00366,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.24996,,PASS
35,random_walk,0.0258,True,False,,50,50,0,0,0.00015,0.00653,1e-05,0.00054,0.00012,0.00609,1.5,,PASS
36,random_walk,0.03447,True,False,,50,50,0,0,0.00165,0.03235,0.00033,0.00446,0.03235,0.03906,1.5,,PASS
37,random_walk,0.04724,True,False,,50,50,0,0,0.0117,0.08488,0.00334,0.03751,0.0,0.03906,1.5,,PASS
38,random_walk,0.01872,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,1.08649,,PASS
39,random_walk,0.00984,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.65834,,PASS
40,random_walk,0.03391,True,False,,50,50,0,0,0.00157,0.02846,0.00054,0.0131,0.00364,0.03906,1.5,,PASS
41,random_walk,0.01856,True,False,,50,50,36,35,0.1602,0.43168,0.03619,0.10744,0.42558,0.0,1.5,,PASS
42,random_walk,0.01292,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.68599,,PASS
43,random_walk,0.02814,True,False,,50,50,0,0,0.00023,0.01147,9e-05,0.00472,0.0,0.0009,1.5,,PASS
44,random_walk,0.00646,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.37465,,PASS
45,random_walk,0.0016,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.08709,,PASS
46,random_walk,0.00877,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.48734,,PASS
47,random_walk,0.00215,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.14661,,PASS
48,random_walk,0.02597,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,1.41144,,PASS
49,random_walk,0.00506,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.32497,,PASS
50,random_walk,0.00766,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03906,0.41143,,PASS
