group_id,kind,sigma,input_valid,rejected,reject_reason,total_steps,executed_steps,modified_steps,stopped_steps,joint_dev_mean,joint_dev_max,tcp_dev_mean,tcp_dev_max,final_gap,min_margin,max_vel,violations,verdict
0,random_walk,0.00273,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03916,0.14485,,PASS
1,random_walk,0.00228,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03916,0.11611,,PASS
2,random_walk,0.00326,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03916,0.20788,,PASS
3,random_walk,0.03795,True,False,,50,50,1,0,0.00047,0.02332,0.00012,0.00588,0.0,0.0,2.03194,,PASS
4,random_walk,0.00428,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03916,0.27173,,PASS
5,random_walk,0.01019,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03916,0.65075,,PASS
6,random_walk,0.0326,True,False,,50,50,5,16,0.04669,0.21114,0.0167,0.08307,0.0,0.0,3.14159,,PASS
7,random_walk,0.03289,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03916,2.06019,,PASS
8,random_walk,0.00811,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03916,0.47459,,PASS
9,random_walk,0.02109,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03916,1.2586,,PASS
10,random_walk,0.03249,True,False,,50,50,2,12,0.03819,0.19427,0.01195,0.07409,0.0,0.0,3.14159,,PASS
11,random_walk,0.00236,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03916,0.13306,,PASS
12,random_walk,0.00374,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03916,0.22381,,PASS
13,random_walk,0.00289,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03916,0.17683,,PASS
14,random_walk,0.03504,True,False,,50,50,2,20,0.05424,0.23523,0.01717,0.06635,0.0,0.0,3.14159,,PASS
15,random_walk,0.00308,True,False,,50,50,0,0,0.0,0.0,0.0,0.0,0.0,0.03916,0.18421,,PASS
16,random_walk,0.06208,True,False,,50,50,0,28,0.35662,1.0215,0.08239,0.20974,1.0215,0.00212,3.14159,,PASS
17,random_walk,0.05107,True,False,,50,50,1,17,0.10606,0.48966,0.02883,0.14606,0.48966,0.0,3.14159,,PASS
